person_id,person_name,ward_name,status,councillor_url,councillor_id,council_service,page_last_updated,source
8bc39eabbf0f2bbd,Raihaan Abbas,Sparkbrook and Balsall Heath East Ward,not_listed_currently,,,,,election_people_only
c71447d357e721ec,"Abdulhaq, Hiyam",Sparkhill Ward,not_listed_currently,,,,,election_people_only
b8484ad4875426ac,"Abedin, Mohammed Joynal",Bordesley and Highgate Ward,not_listed_currently,,,,,election_people_only
34243f456ed7a1b3,"Abu, Nowshed",Sparkbrook and Balsall Heath East Ward,not_listed_currently,,,,,election_people_only
67a9661ca9d3fb53,"Ackroyd, Mark Stewart",Sheldon Ward,not_listed_currently,,,,,election_people_only
cb36fcae681894d7,"Ackroyd, Sara Jane",Sheldon Ward,not_listed_currently,,,,,election_people_only
86f78a745c049476,"Aftab, Mudassir",Billesley Ward,not_listed_currently,,,,,election_people_only
513a766a69d9f7a7,"Aftab, Safina Parveen",Sparkhill Ward,not_listed_currently,,,,,election_people_only
f5d7985c1c7f3da2,"Ahamad, Hussain",Alum Rock Ward,not_listed_currently,,,,,election_people_only
2708117e78764bf1,"Ahmed, Akhlaq",Hall Green North Ward,not_listed_currently,,,,,election_people_only
fc7c2c9fa0487b33,"Ahmed, Hakil",Bordesley and Highgate Ward,not_listed_currently,,,,,election_people_only
45f0d1d8d419eb6f,Mansuur Ahmed,Nechells Ward,not_listed_currently,,,,,election_people_only
39fd09e52cd72db7,"Ahmed, Saeed",Aston Ward,not_listed_currently,,,,,election_people_only
02c37b858f10bbed,"Ahmed, Saima",Sparkbrook and Balsall Heath East Ward,not_listed_currently,,,,,election_people_only
48fca75e39f1c493,"Ahmed, Shafaq",Hall Green South Ward,not_listed_currently,,,,,election_people_only
c1d7eb896a1a9a2a,"Ahmed, Shanaz",Small Heath Ward,not_listed_currently,,,,,election_people_only
8c1fed6516f53982,"Aikhlaq, Mohammed",Ward End Ward,not_listed_currently,,,,,election_people_only
2506129e8eac6a56,"Akhtar, Wahid",Gravelly Hill Ward,not_listed_currently,,,,,election_people_only
618f9b6199f67b85,"Al-Athwari, Ahmed",Small Heath Ward,not_listed_currently,,,,,election_people_only
2e5408e856bbf953,"Al-Haq, Aysan",South Yardley Ward,not_listed_currently,,,,,election_people_only
0dcb543c3f319b7d,Deirdre Alden,Edgbaston Ward,not_listed_currently,,,,,election_people_only
567f63894f876fa2,Robert Alden,Erdington Ward,not_listed_currently,,,,,election_people_only
4ebc16d639ad6aa7,"Ali, Abid",Heartlands Ward,not_listed_currently,,,,,election_people_only
d6bf55685f82be56,"Ali, Amaan Hader",Small Heath Ward,not_listed_currently,,,,,election_people_only
9b8f1188486534a6,"Ali, Ayyub",Moseley Ward,not_listed_currently,,,,,election_people_only
99ca4a4bc86811c1,Duncan Ali,Balsall Heath West Ward,not_listed_currently,,,,,election_people_only
0df90fc01cf3cb28,"Ali, Liaqat",Yardley West and Stechford Ward,not_listed_currently,,,,,election_people_only
18fd647570d6a5e2,"Ali, Muhammad",Bournville and Cotteridge Ward,not_listed_currently,,,,,election_people_only
effb64902e1f662a,"Ali, Naz",Ward End Ward,not_listed_currently,,,,,election_people_only
bc1beb0eabf7a2cc,"Ali, Zafar",Aston Ward,not_listed_currently,,,,,election_people_only
c1f372a0dea815a1,"Allen, David",Perry Barr Ward,not_listed_currently,,,,,election_people_only
b14f426ce3d5e754,"Allen, Leeford Claude Beresford",Brandwood and Kings Heath Ward,not_listed_currently,,,,,election_people_only
13a624e0c17f7d91,"Allsop, Stephen Richard",Pype Hayes Ward,not_listed_currently,,,,,election_people_only
bbb593e45ff9a2fa,"Alton, Paul",Rubery and Rednal Ward,not_listed_currently,,,,,election_people_only
c43f8a9e06ab5c47,"Ameer, Mohammed Imran",Yardley West and Stechford Ward,not_listed_currently,,,,,election_people_only
e7364e230b9bcda9,"Amin, Mohammed",Gravelly Hill Ward,not_listed_currently,,,,,election_people_only
1c19e95e656daaf1,"Amin, Raja Mohammed",Balsall Heath West Ward,not_listed_currently,,,,,election_people_only
a264e8e6c363b0fe,"Anarfi, Kofi Agyei Tabiri",North Edgbaston Ward,not_listed_currently,,,,,election_people_only
7a09e1ab2d3786cb,"Anderson, Sonya",Newtown Ward,not_listed_currently,,,,,election_people_only
dc9bdee8a6a58bd5,"Anderson, Sue",Quinton Ward,not_listed_currently,,,,,election_people_only
6860469fb44d620e,Jess Ankrett,Glebe Farm and Tile Cross Ward,not_listed_currently,,,,,election_people_only
148fc4f142041eca,"Annett, Jack",Bromford and Hodge Hill Ward,not_listed_currently,,,,,election_people_only
63c955ba011fa87d,"Anton, Christopher",Birchfield Ward,not_listed_currently,,,,,election_people_only
ea57e3acede5d6e7,"Arabi, Belal",Hall Green North Ward,not_listed_currently,,,,,election_people_only
c939c97b7d5883a1,"Arifeen, Shamsul",North Edgbaston Ward,not_listed_currently,,,,,election_people_only
96b02291380edf7a,"Ashton, Oliver",Moseley Ward,not_listed_currently,,,,,election_people_only
ce6c63af40970ae1,"Aslam, Sikander",Sheldon Ward,not_listed_currently,,,,,election_people_only
904f335e19791935,"Asonibare, Francine",Longbridge and West Heath Ward,not_listed_currently,,,,,election_people_only
1b8c48518d432c46,"Atholi, Junior",Handsworth Wood Ward,not_listed_currently,,,,,election_people_only
ca2c480ae88c0c6c,"Atholi, Senior",Holyhead Ward,not_listed_currently,,,,,election_people_only
cccba0a797a424c2,"Attiq, Mohammed",Bordesley Green Ward,not_listed_currently,,,,,election_people_only
f7be5491f25dc8fc,"Auton, Ben",Sutton Trinity Ward,not_listed_currently,,,,,election_people_only
4124daabaa8c4f50,"Aziz, Raqeeb",Bordesley Green Ward,not_listed_currently,,,,,election_people_only
636cc9991cb1fe83,"Babington, Jamie",Brandwood and Kings Heath Ward,not_listed_currently,,,,,election_people_only
d71d8fa3ceeee4cb,"Ballard, Harry",Shard End Ward,not_listed_currently,,,,,election_people_only
8ddae320aaafebd5,"Ballard, Joe",Bordesley Green Ward,not_listed_currently,,,,,election_people_only
9b384bb212575f9a,"Banger, Lalit Kumar",Handsworth Wood Ward,not_listed_currently,,,,,election_people_only
